itemDefName,type,reason
bid_055_psburnout,E,PS Plus Pack
bid_138_celestial,E,TODO
bid_142_raptorarcticcamo,E,TODO
bid_169_mathmale,E,TODO
bid_224_techopsblue,E,TODO
bid_234_speedymidnight,E,TODO
bid_249_streetopsstealth,E,TODO
bid_288_cyberscavengerfemaleblue,E,TODO
bid_346_blackwidowrogue,E,TODO
bid_448_techopsbluefemale,E,TODO
bid_482_longshorts,E,TODO
bid_521_wildcat,E,TODO
bid_604_skullbritecube,E,TODO
bid_644_streetfashiondiamond,E,TODO
bid_766_tacticalwoodlandblue,E,TODO
cid_017_athena_commando_m,E,TODO
cid_028_athena_commando_f,E,TODO
cid_035_athena_commando_m_medieval,E,TODO
cid_039_athena_commando_f_disco,E,TODO
cid_052_athena_commando_f_psblue,E,TODO
cid_085_athena_commando_m_twitch,E,TODO
cid_089_athena_commando_m_retrogrey,E,TODO
cid_095_athena_commando_m_founder,E,TODO
cid_096_athena_commando_f_founder,E,TODO
cid_113_athena_commando_m_blueace,E,TODO
cid_114_athena_commando_f_tacticalwoodland,E,TODO
cid_138_athena_commando_m_psburnout,E,TODO
cid_174_athena_commando_f_carbidewhite,E,TODO
cid_175_athena_commando_m_celestial,E,TODO
cid_183_athena_commando_m_modernmilitaryred,E,TODO
cid_261_athena_commando_m_raptorarcticcamo,E,TODO
cid_296_athena_commando_m_math,E,TODO
cid_313_athena_commando_m_kpopfashion,E,TODO
cid_342_athena_commando_m_streetracermetallic,E,TODO
cid_360_athena_commando_m_techopsblue,E,TODO
cid_371_athena_commando_m_speedymidnight,E,TODO
cid_386_athena_commando_m_streetopsstealth,E,TODO
cid_434_athena_commando_f_stealthhonor,E,TODO
cid_441_athena_commando_f_cyberscavengerblue,E,TODO
cid_478_athena_commando_f_worldcup,E,TODO
cid_479_athena_commando_f_davinci,E,TODO
cid_515_athena_commando_m_barbequelarry,E,TODO
cid_516_athena_commando_m_blackwidowrogue,E,TODO
cid_619_athena_commando_f_techllama,E,TODO
cid_657_athena_commando_f_techopsblue,E,TODO
cid_711_athena_commando_m_longshorts,E,TODO
cid_757_athena_commando_f_wildcat,E,TODO
cid_783_athena_commando_m_aquajacket,E,TODO
cid_850_athena_commando_f_skullbritecube,E,TODO
cid_926_athena_commando_f_streetfashiondiamond,E,TODO
cid_a_101_athena_commando_m_tacticalwoodlandblue,E,TODO
cid_a_297_athena_commando_f_network,E,TODO
eid_hoppin,E,TODO
eid_floss,E,TODO
eid_hiphop01,E,TODO
eid_kpopdance03,E,TODO
eid_playereleven,E,TODO
founderglider,E,TODO
founderumbrella,E,TODO
glider_id_001,E,TODO
glider_id_013_psblue,E,TODO
glider_id_056_carbidewhite,E,TODO
glider_id_067_psburnout,E,TODO
glider_id_074_raptorarcticcamo,E,TODO
glider_id_090_celestial,E,TODO
glider_id_131_speedymidnight,E,TODO
glider_id_137_streetopsstealth,E,TODO
glider_id_137_streetopsstealth,E,TODO
glider_id_211_wildcatblue,E,TODO
glider_id_212_aquajacketmale,E,TODO
glider_id_217_longshortsmale,E,TODO
glider_warthog,E,TODO
petcarrier_013_bbqlarry,E,TODO
pickaxe_id_013_teslacoil,E,TODO
pickaxe_id_039_tacticalblack,E,TODO
pickaxe_id_077_carbidewhite,E,TODO
pickaxe_id_088_psburnout,E,TODO
pickaxe_id_097_raptorarcticcamo,E,TODO
pickaxe_id_116_celestial,E,TODO
pickaxe_id_153_roseleader,E,TODO
pickaxe_id_178_speedymidnight,E,TODO
pickaxe_id_189_streetopsstealth,E,TODO
pickaxe_id_189_streetopsstealth,E,TODO
pickaxe_id_237_warpaint,E,TODO
pickaxe_id_256_techopsblue,E,TODO
pickaxe_id_265_barbequelarry1h,E,TODO
pickaxe_id_294_candycane,E,TODO
pickaxe_id_398_wildcatfemale,E,TODO
pickaxe_id_400_aquajacketmale,E,TODO
pickaxe_id_461_skullbritecube,E,TODO
pickaxe_id_464_longshortsmale,E,TODO
pickaxe_id_717_networkfemale,E,TODO
pickaxe_lockjaw,E,TODO
spid_065_discoballer,E,TODO
spid_066_llamalaxy,E,TODO
spid_232_peelybhangra,E,TODO
spid_289_rifttouracclink_x1fv9,E,TODO
trails_id_019_psburnout,E,TODO
trails_id_059_sony2,E,TODO
trails_id_091_longshorts,E,TODO
trails_id_123_tacticalwoodlandblue,E,TODO
vtid_052_skull_trooper_redflames,E,TODO
vtid_053_ghost_portal__redflames,E,TODO
vtid_259_m_teriyakifish_styled,E,TODO
vtid_389_halloween_stylec,E,TODO
vtid_828_m_jupiter_styleb,E,TODO
vtid_837_m_historian_styleb,E,TODO
vtid_976_alchemy_styleb,E,TODO
vtid_a_410_rustyboltmale_styleb,E,TODO
wrap_121_techopsblue,E,TODO
wrap_261_treefrog,E,TODO
wrap_311_vangogh,E,TODO
wrap_333_stealthwoodland,E,TODO
wrap_384_paperairplane,E,TODO
wrap_405_greengel,E,TODO
